id,date,establisment,total,tip,grubhub,timePay,mileagePay,miles,bonus,acceptedAt,streetName,city,zip,canceled,popUp,type,lat,long,rating
208,6/24/2021,Tropical Smoothie,12.11,4.22,7.89,6.03,1.86,8.09,0,12:34:00 PM,849 Paoli Pike,West Chester,19380,,,Drinks,39.96908,-75.58744,3.5
209,6/18/2021,Ruby's Diner,13.06,5.21,7.85,3.38,2.07,9,2.4,2:17:00 PM,919 Baltimore Pike,Glen Mills,19342,,,American,39.88493,-75.53337,3
210,7/7/2021,McDonald's,11.11,8,3.11,2.37,0.74,3.22,0,12:04:00 PM,927 S High St,West Chester,19380,,,Fast Food,39.94256,-75.5908,2
211,7/3/2021,McDonald's,6.49,3.49,3,2.2,0.8,3.48,0,3:11:00 PM,927 S High St,West Chester,19380,,,Fast Food,39.94256,-75.5908,2
212,6/27/2021,McDonald's,7.26,3.91,3.35,2.43,0.76,3.3,0.16,6:11:00 PM,927 S High St,West Chester,19380,,,Fast Food,39.94256,-75.5908,2
213,7/11/2021,Country Bagel,6.78,3.12,3.66,2.73,0.93,4.04,0,11:36:00 AM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
214,7/9/2021,Country Bagel,7.31,3.71,3.6,2.49,1.11,4.83,0,11:12:00 AM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
215,7/2/2021,Country Bagel,5.82,2.82,3,2.38,0.62,2.7,0,12:55:00 PM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
216,7/1/2021,Country Bagel,8.12,4.37,3.75,3.31,0.44,1.91,0,9:35:00 AM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
217,6/18/2021,Country Bagel,6.55,4.55,2,1.85,0.15,0.65,0,12:12:00 PM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
218,6/18/2021,Country Bagel,9.38,5,4.38,3.65,0.73,3.17,0,12:12:00 PM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
219,6/18/2021,Country Bagel,7.16,3.44,3.72,3.31,0.41,1.78,0,11:07:00 AM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
220,6/16/2021,Country Bagel,6.33,2.95,3.38,2.52,0.86,3.74,0,11:20:00 AM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
221,6/13/2021,Country Bagel,4.89,2.89,2,1.75,0.25,1.09,0,12:48:00 PM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
222,6/13/2021,Country Bagel,7.71,4,3.71,3.23,0.48,1.39,0,12:48:00 PM,929 S High St STE 21,West Chester,19382,,,American,39.9427,-75.58937,3.5
